,Marca,Tramo,Tope ($MM),Tasa (cl/$MM),Inversión ($MM),% del presupuesto
0,Don Carlo,1. captación,inf,400,850.0,5.0
1,Don Carlo,2. desperdicio,inf,0,0.0,0.0
2,Agnellis,1. captación,inf,500,850.0,5.0
3,Agnellis,2. desperdicio,inf,0,0.0,0.0
4,Triguetti,1. hasta saturar,6000.0,200,5100.0,30.0
5,Triguetti,2. desperdicio,inf,0,0.0,0.0
6,Candealix,1. 1er tramo,5000.0,300,0.0,0.0
7,Candealix,2. 2do tramo,inf,200,0.0,0.0
8,Candealix,3. desperdicio,inf,0,0.0,0.0
9,Rena Speziale,1. 1er tramo,3500.0,150,3500.0,20.58823529411765
10,Rena Speziale,2. 2do tramo,inf,100,5070.0,29.823529411764707
11,Rena Speziale,3. desperdicio,inf,0,1630.0,9.588235294117647
