,Utilidad neta,Utilidad operativa,Facturación (market share)
Z,76578.595,112489.486,1025920.0
Facturación ($MM),1025920.0,1025920.0,1025920.0
Market share (%),61.91056665258584,61.91056665258584,61.91056665258584
Utilidad neta ($MM),76578.595,76578.595,76578.595
Utilidad oper. ($MM),112489.486,112489.486,112489.486
Clientes nuevos,2817000.0,2817000.0,2817000.0
Presupuesto usado ($MM),17000.0,17000.0,17000.0
Inversión estéril ($MM),1630.0,1630.0,1630.0
$ Don Carlo,850.0,850.0,850.0
$ Agnellis,850.0,850.0,850.0
$ Triguetti,5100.0,5100.0,5100.0
$ Candealix,0.0,0.0,0.0
$ Rena Speziale,10200.0,10200.0,10200.0
