k,Don Carlo ($MM),Agnellis ($MM),Clientes Don Carlo,Clientes Agnellis,Presencia DC solo campaña (%),Presencia DC base+campaña (%),Share DC en segmento bajo (%),Utilidad neta ($MM),Market share (%),R5 holgura (clientes),R5 activa
1.0,850.0,850.0,340000.0,425000.0,44.44444444444444,64.67927631578947,36.581395348837205,76578.595,61.91056665258584,1815000.0,False
0.9,805.26316,894.73684,322105.26399999997,447368.42000000004,41.86046523717112,64.50838291771998,36.49816401860465,76610.6936827,61.92163545012371,1810526.3199999998,False
0.75,728.57143,971.42857,291428.572,485714.28500000003,37.500000080422794,64.2157150456454,36.355481730232555,76665.719998975,61.94061053267757,1802857.1400000001,False
0.6,637.5,1062.5,255000.0,531250.0,32.432432432432435,63.86865059004617,36.1860465116279,76731.06375,61.96314344336491,1793750.0,False
0.5,566.66667,1133.3333,226666.66799999998,566666.65,28.571429291716697,63.599070239998824,36.054263572093014,76781.88661814999,61.98066900235351,1786666.67,False
0.4,485.71429,1214.2857,194285.71600000001,607142.85,24.242424620536926,63.29136168205062,35.903654493023254,76839.96998155,62.00069828049001,1778571.4300000002,False
0.3,392.30769,1307.6923,156923.076,653846.15,19.35483870967742,62.93682056216847,35.72987477209302,76906.98921705,62.02380895938688,1769230.77,False
0.2,283.33333,1416.6667,113333.332,708333.35,13.793103028607407,62.52387439901506,35.527131776744184,76985.17838185,62.05077146593447,1758333.33,False
0.1,154.54545,1545.4545,61818.17999999999,772727.25,7.4074074074074066,62.03679624419204,35.28752641860464,77077.58356274999,62.08263608895057,1745454.55,False
0.0,0.0,1700.0,0.0,850000.0,0.0,61.453654552878724,34.99999999999999,77188.47,62.12087381570213,1730000.0,False
