Escenario,epsilon ($MM),Facturación ($MM),Market share (%),Utilidad neta ($MM),Costo marginal ($MM util / $MM fact),Costo marginal por punto de share ($MM)
Reglas actuales,1025920.0,1025920.0,61.91056665258584,76578.595,0.0,0.0
Sin R3 (30% Triguetti),1086429.25,1086429.25,65.5620813469314,80100.95874999999,-0.0,0.0
Sin R3 (30% Triguetti),1086921.1922841666,1086921.19246,65.59176829762839,80077.3212457,-0.048049327,796.2253977170001
Sin R3 (30% Triguetti),1087413.1345683334,1087413.13626,65.62145532918954,80053.6838754,-0.048049327,796.2253977170001
Sin R3 (30% Triguetti),1087905.0768525,1087905.07503,65.65114205720838,80030.04613535,-0.048049327,796.2253977170001
Sin R3 (30% Triguetti),1088397.0191366668,1088397.01923,65.68082911290809,80006.40877025001,-0.048049327,796.2253977170001
Sin R3 (30% Triguetti),1088888.9614208334,1088888.96303,65.71051614446925,79982.77139995,-0.048049327,796.2253977170001
Sin R3 (30% Triguetti),1089380.903705,1089380.90549,65.74020309516627,79959.13389565001,-0.048049327,796.2253977170001
Sin R3 (30% Triguetti),1089872.8459891668,1089872.8442600002,65.7698898231851,79935.4961556,-0.048049327,796.2253977170001
Sin R3 (30% Triguetti),1090364.7882733333,1090364.78806,65.79957685474623,79911.85878529999,-0.048049327,796.2253977170001
Sin R3 (30% Triguetti),1090856.7305575002,1090856.73052,65.82926380544325,79888.221281,-0.048049327,796.2253977170001
Sin R3 (30% Triguetti),1091348.6728416667,1091348.67472,65.85895086114296,79864.58391589999,-0.048049327,796.2253977170001
Sin R3 (30% Triguetti),1091840.6151258335,1091840.61349,65.88863758916179,79840.94617585,-0.048049327,796.2253977170001
Sin R3 (30% Triguetti),1092332.4481767444,1092332.44802,65.9183180266731,79817.31405589999,-0.048049327,796.2253977170001
Sin R4 (doble de Rena),1059177.0,1059177.0,63.917506487236736,79296.92,-0.0,0.0
Sin R4 (doble de Rena),1060812.0001508333,1060812.00012,64.01617283929757,79244.713313,-0.031930693,529.1235137030001
Sin R4 (doble de Rena),1062447.0003016666,1062447.000609,64.11483921362621,79192.50664957499,-0.031930693,529.1235137030001
Sin R4 (doble de Rena),1064082.0004525,1064082.000729,64.21350556568704,79140.299962575,-0.031930693,529.1235137030001
Sin R4 (doble de Rena),1065717.0006033333,1065717.000849,64.31217191774786,79088.09327557501,-0.031930693,529.1235137030001
Sin R4 (doble de Rena),1067352.0007541666,1067352.001338,64.41083829207652,79035.88661215,-0.031930693,529.1235137030001
Sin R4 (doble de Rena),1068987.0009050001,1068987.0014580002,64.50950464413735,78983.67992514999,-0.031930693,529.1235137030001
Sin R4 (doble de Rena),1070622.0010558334,1070622.00084,64.60817095166254,78931.473191,-0.031930693,529.1235137030001
Sin R4 (doble de Rena),1072257.0012066667,1072257.00029,64.7068372632913,78879.266437,-0.031930693,529.1235137030001
Sin R4 (doble de Rena),1073892.0013575,1073892.00041,64.80550361535212,78827.05975,-0.031930693,529.1235137030001
Sin R4 (doble de Rena),1075527.0015083333,1075527.000396,64.90416995932654,78774.8530496,-0.031930693,529.1235137030001
Sin R4 (doble de Rena),1077162.0016591668,1077161.9998599999,65.00283627180012,78583.14691679999,-0.20309524,3365.49122204
Sin R4 (doble de Rena),1078796.8939303,1078796.89576,65.10149633456038,78251.1083299,-0.20309524,3365.49122204
Sin R3 ni R4,1085678.5,1085678.5,65.51677629593868,80253.4325,-0.0,0.0
Sin R3 ni R4,1086647.8195841666,1086647.81788,65.57527112908093,80222.48133149999,-0.031930693,529.1235137030001
Sin R3 ni R4,1087617.1391683333,1087617.14079,65.6337662657655,80191.53053275001,-0.031930693,529.1235137030001
Sin R3 ni R4,1088586.4587525,1088586.45867,65.69226109890774,80160.57936425,-0.031930693,529.1235137030001
Sin R3 ni R4,1089555.7783366668,1089555.77655,65.75075593204997,80129.62819575,-0.031930693,529.1235137030001
Sin R3 ni R4,1090525.0979208334,1090525.09812,65.80925098787037,80098.67726299999,-0.031930693,529.1235137030001
Sin R3 ni R4,1091494.417505,1091494.41734,65.86774590187677,80067.72622849999,-0.031930693,529.1235137030001
Sin R3 ni R4,1092463.7370891667,1092463.73891,65.92624095769719,80036.77529574999,-0.031930693,529.1235137030001
Sin R3 ni R4,1093433.0566733333,1093433.05679,65.98473579083942,80005.82412725,-0.031930693,529.1235137030001
Sin R3 ni R4,1094402.3762575001,1094402.37601,66.04323070484581,79974.87309275001,-0.031930693,529.1235137030001
Sin R3 ni R4,1095371.6958416668,1095371.69758,66.10172576066621,79943.92216000002,-0.031930693,529.1235137030001
Sin R3 ni R4,1096341.0154258334,1096341.01546,66.16022059380846,79912.97099149998,-0.031930693,529.1235137030001
Sin R3 ni R4,1097310.2252789666,1097310.22694,66.21870900609498,79882.02357400002,-0.031930693,529.1235137030001
