Categoría,Artículo,Descripción,Combos que lo usan,Lista de combos
Baldosas,B1,Blanco,5,"2, 3, 7, 10, 17"
Baldosas,B2,Marfil,7,"1, 6, 8, 12, 18, 19, 20"
Baldosas,B3,Blanco y azul a cuadros,4,"4, 11, 15, 16"
Baldosas,B4,Blanco y amarillo a cuadros,4,"5, 9, 13, 14"
Empapelado vinílico,E1,Símil marfil blanco,4,"2, 8, 9, 14"
Empapelado vinílico,E2,Símil marfil a rayas celestes,6,"1, 3, 6, 15, 19, 20"
Empapelado vinílico,E3,Símil mármol azul,5,"4, 7, 16, 17, 18"
Empapelado vinílico,E4,Símil mármol amarillo claro,3,"5, 10, 11"
Apliques de luz,L1,Plafón único rectangular,6,"2, 5, 10, 12, 15, 20"
Apliques de luz,L2,Plafones led ovalados,4,"3, 6, 9, 17"
Apliques de luz,L3,Bombillas de filamentos,5,"4, 8, 11, 13, 18"
Apliques de luz,L4,Globos de luz fría,5,"1, 7, 14, 16, 19"
Alacenas,A1,Madera clara,7,"3, 8, 10, 14, 15, 16, 20"
Alacenas,A2,Madera oscura,4,"1, 5, 12, 18"
Alacenas,A3,Madera clara con puertas traslúcidas,6,"4, 7, 9, 11, 13, 17"
Alacenas,A4,Madera oscura con puertas traslúcidas,3,"2, 6, 19"
Mesadas,M1,Madera laqueada,5,"3, 8, 11, 13, 15"
Mesadas,M2,Cemento alisado,5,"5, 7, 9, 12, 20"
Mesadas,M3,Mármol sintético oscuro,5,"4, 10, 14, 16, 17"
Mesadas,M4,Granito,5,"1, 2, 6, 18, 19"
Bacha y grifería,G1,Bacha dividida con grifo mono-comando,5,"4, 7, 11, 14, 18"
Bacha y grifería,G2,Bacha dividida con grifos separados,6,"1, 5, 9, 13, 16, 19"
Bacha y grifería,G3,Bacha única con grifo mono-comando,4,"6, 8, 15, 20"
Bacha y grifería,G4,Bacha única con grifos separados,5,"2, 3, 10, 12, 17"
Lavavajillas,W1,Blanco,8,"2, 3, 4, 5, 7, 10, 11, 13"
Lavavajillas,W2,Gris,5,"1, 6, 8, 9, 12"
Cocinas,C1,Cocina eléctrica blanca,5,"4, 5, 7, 14, 16"
Cocinas,C2,Cocina eléctrica negra,5,"1, 2, 9, 12, 18"
Cocinas,C3,Cocina a gas blanca,6,"3, 10, 11, 13, 15, 17"
Cocinas,C4,Cocina a gas negra,4,"6, 8, 19, 20"
