Combos,Unidades,Categorías cubiertas,Baldosas,Empapelado vinílico,Apliques de luz,Alacenas,Mesadas,Bacha y grifería,Lavavajillas + cocinas
1 - 2 - 14,23,8,3,3,3,3,3,3,5
1 - 2 - 15,23,8,3,3,3,3,3,3,5
1 - 2 - 16,23,8,3,3,3,3,3,3,5
1 - 2 - 17,23,8,3,3,3,3,3,3,5
1 - 2 - 18,23,8,3,3,3,3,3,3,5
1 - 2 - 19,23,8,3,3,3,3,3,3,5
1 - 2 - 20,23,8,3,3,3,3,3,3,5
1 - 3 - 14,23,8,3,3,3,3,3,3,5
1 - 3 - 15,23,8,3,3,3,3,3,3,5
1 - 3 - 16,23,8,3,3,3,3,3,3,5
1 - 3 - 17,23,8,3,3,3,3,3,3,5
1 - 3 - 18,23,8,3,3,3,3,3,3,5
1 - 3 - 19,23,8,3,3,3,3,3,3,5
1 - 3 - 20,23,8,3,3,3,3,3,3,5
1 - 4 - 14,23,8,3,3,3,3,3,3,5
1 - 4 - 15,23,8,3,3,3,3,3,3,5
1 - 4 - 16,23,8,3,3,3,3,3,3,5
1 - 4 - 17,23,8,3,3,3,3,3,3,5
1 - 4 - 18,23,8,3,3,3,3,3,3,5
1 - 4 - 19,23,8,3,3,3,3,3,3,5
1 - 4 - 20,23,8,3,3,3,3,3,3,5
1 - 5 - 14,23,8,3,3,3,3,3,3,5
1 - 5 - 15,23,8,3,3,3,3,3,3,5
1 - 5 - 16,23,8,3,3,3,3,3,3,5
1 - 5 - 17,23,8,3,3,3,3,3,3,5
1 - 5 - 18,23,8,3,3,3,3,3,3,5
1 - 5 - 19,23,8,3,3,3,3,3,3,5
1 - 5 - 20,23,8,3,3,3,3,3,3,5
1 - 6 - 14,23,8,3,3,3,3,3,3,5
1 - 6 - 15,23,8,3,3,3,3,3,3,5
1 - 6 - 16,23,8,3,3,3,3,3,3,5
1 - 6 - 17,23,8,3,3,3,3,3,3,5
1 - 6 - 18,23,8,3,3,3,3,3,3,5
1 - 6 - 19,23,8,3,3,3,3,3,3,5
1 - 6 - 20,23,8,3,3,3,3,3,3,5
1 - 7 - 14,23,8,3,3,3,3,3,3,5
1 - 7 - 15,23,8,3,3,3,3,3,3,5
