Combo,Artículos,Unidades,Lugares lavav.+cocinas
1,B2 E2 L4 A2 M4 G2 W2 C2,8,2
2,B1 E1 L1 A4 M4 G4 W1 C2,8,2
3,B1 E2 L2 A1 M1 G4 W1 C3,8,2
4,B3 E3 L3 A3 M3 G1 W1 C1,8,2
5,B4 E4 L1 A2 M2 G2 W1 C1,8,2
7,B1 E3 L4 A3 M2 G1 W1 C1,8,2
9,B4 E1 L2 A3 M2 G2 W2 C2,8,2
10,B1 E4 L1 A1 M3 G4 W1 C3,8,2
11,B3 E4 L3 A3 M1 G1 W1 C3,8,2
12,B2 L1 A2 M2 G4 W2 C2,7,2
13,B4 L3 A3 M1 G2 W1 C3,7,2
14,B4 E1 L4 A1 M3 G1 C1,7,1
15,B3 E2 L1 A1 M1 G3 C3,7,1
16,B3 E3 L4 A1 M3 G2 C1,7,1
17,B1 E3 L2 A3 M3 G4 C3,7,1
18,B2 E3 L3 A2 M4 G1 C2,7,1
