Categoría,Artículo,Descripción,Unidades en stock,Para los combos
Baldosas,B1,Blanco,1,"2, 3, 7, 10, 17"
Baldosas,B2,Marfil,1,"1, 12, 18"
Baldosas,B3,Blanco y azul a cuadros,1,"4, 11, 15, 16"
Baldosas,B4,Blanco y amarillo a cuadros,1,"5, 9, 13, 14"
Empapelado vinílico,E1,Símil marfil blanco,1,"2, 9, 14"
Empapelado vinílico,E2,Símil marfil a rayas celestes,1,"1, 3, 15"
Empapelado vinílico,E3,Símil mármol azul,1,"4, 7, 16, 17, 18"
Empapelado vinílico,E4,Símil mármol amarillo claro,1,"5, 10, 11"
Apliques de luz,L1,Plafón único rectangular,1,"2, 5, 10, 12, 15"
Apliques de luz,L2,Plafones led ovalados,1,"3, 9, 17"
Apliques de luz,L3,Bombillas de filamentos,1,"4, 11, 13, 18"
Apliques de luz,L4,Globos de luz fría,1,"1, 7, 14, 16"
Alacenas,A1,Madera clara,1,"3, 10, 14, 15, 16"
Alacenas,A2,Madera oscura,1,"1, 5, 12, 18"
Alacenas,A3,Madera clara con puertas traslúcidas,1,"4, 7, 9, 11, 13, 17"
Alacenas,A4,Madera oscura con puertas traslúcidas,1,2
Mesadas,M1,Madera laqueada,1,"3, 11, 13, 15"
Mesadas,M2,Cemento alisado,1,"5, 7, 9, 12"
Mesadas,M3,Mármol sintético oscuro,1,"4, 10, 14, 16, 17"
Mesadas,M4,Granito,1,"1, 2, 18"
Bacha y grifería,G1,Bacha dividida con grifo mono-comando,1,"4, 7, 11, 14, 18"
Bacha y grifería,G2,Bacha dividida con grifos separados,1,"1, 5, 9, 13, 16"
Bacha y grifería,G3,Bacha única con grifo mono-comando,1,15
Bacha y grifería,G4,Bacha única con grifos separados,1,"2, 3, 10, 12, 17"
Lavavajillas,W1,Blanco,1,"2, 3, 4, 5, 7, 10, 11, 13"
Lavavajillas,W2,Gris,1,"1, 9, 12"
Cocinas,C1,Cocina eléctrica blanca,1,"4, 5, 7, 14, 16"
Cocinas,C2,Cocina eléctrica negra,1,"1, 2, 9, 12, 18"
Cocinas,C3,Cocina a gas blanca,1,"3, 10, 11, 13, 15, 17"
Cocinas,C4,Cocina a gas negra,0,
